name,location
image0.png,"40.75582742420695,-73.97267320511719"
image1.png,"40.755574989411336,-73.96734283374191"
image2.png,"40.749013884388944,-73.97554600645655"
image3.png,"40.75189330670511,-73.96670519891404"
image4.png,"40.75841770803017,-73.97309974685368"
image5.png,"40.7532198381783,-73.97941048092605"
image6.png,"40.751474147124306,-73.9722994516181"
image7.png,"40.75899438726235,-73.98156412837587"
image8.png,"40.74807029171167,-73.97142666584384"
image9.png,"40.753126949970394,-73.97243215986606"
